Total,Comunidad Asiática,Region,condado,porcentaje comunidad asiatica
27355.0,212.0,Georgia,Dawson,0.7749954304514713
29063.0,141.0,Georgia,Decatur,0.4851529436052713
761209.0,47369.0,Georgia,DeKalb,6.222863891519937
19977.0,4.0,Georgia,Dodge,0.0200230264804525
11236.0,0.0,Georgia,Dooly,0.0
85038.0,700.0,Georgia,Dougherty,0.8231614101930901
144735.0,2706.0,Georgia,Douglas,1.8696237952119392
10753.0,0.0,Georgia,Early,0.0
3707.0,59.0,Georgia,Echols,1.591583490693283
65314.0,443.0,Georgia,Effingham,0.6782619346541323
19570.0,218.0,Georgia,Elbert,1.1139499233520695
